frame_idx,ts_sec,local_track_id,tracklet_id,source_gid,assigned_final_gid_internal,final_global_id,x1,y1,x2,y2,cx,cy,bbox_area_ratio,tracklet_quality,stayed_global_id_0,best_reid_match_id,best_reid_sim,best_reid_deep_sim,second_best_match_id,second_best_sim,margin,new_global_id_allowed,blocking_reason,absorbed_into,gt_person_id_from_audit,pred_in_audit,audit_iou,gt_from_archive_match,archive_iou,resolved_gt_person,is_target_gt_7_10_11,raw_decision_reason
1080,90.0000,2,22,2,25,2,1065.33,279.43,1255.20,671.14,1160.3,475.3,0.02017,0.9234232621238563,no,34,0.9523,0.8618,29,0.8986,0.0536,no,rejected_ambiguous: best score matches multiple existing persons — cannot confirm new ID,global_id=2,2,2,0.959,,0.000,2,no,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
1080,90.0000,1,10,1,24,1,737.54,411.58,1001.25,1009.96,869.4,710.8,0.04280,1.0,no,31,0.8735,0.7185,24,0.8096,0.0639,no,rejected_weak_score: ReID similarity too low to confirm new person vs existing,global_id=1,3,3,0.982,,0.000,3,no,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
1081,90.0833,2,22,2,25,2,1066.43,278.91,1255.88,672.78,1161.2,475.8,0.02024,0.9234232621238563,no,34,0.9523,0.8618,29,0.8986,0.0536,no,rejected_ambiguous: best score matches multiple existing persons — cannot confirm new ID,global_id=2,,,0.000,,0.000,,no,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
1081,90.0833,1,10,1,24,1,738.36,412.54,1021.82,1009.02,880.1,710.8,0.04587,1.0,no,31,0.8735,0.7185,24,0.8096,0.0639,no,rejected_weak_score: ReID similarity too low to confirm new person vs existing,global_id=1,,,0.000,,0.000,,no,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
1082,90.1667,2,22,2,25,2,1066.48,278.75,1257.16,672.84,1161.8,475.8,0.02038,0.9234232621238563,no,34,0.9523,0.8618,29,0.8986,0.0536,no,rejected_ambiguous: best score matches multiple existing persons — cannot confirm new ID,global_id=2,,,0.000,,0.000,,no,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
1082,90.1667,1,10,1,24,1,736.28,411.94,1015.82,1009.32,876.1,710.6,0.04530,1.0,no,31,0.8735,0.7185,24,0.8096,0.0639,no,rejected_weak_score: ReID similarity too low to confirm new person vs existing,global_id=1,,,0.000,,0.000,,no,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
1083,90.2500,2,22,2,25,2,1066.80,278.17,1256.56,672.69,1161.7,475.4,0.02031,0.9234232621238563,no,34,0.9523,0.8618,29,0.8986,0.0536,no,rejected_ambiguous: best score matches multiple existing persons — cannot confirm new ID,global_id=2,,,0.000,,0.000,,no,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
1083,90.2500,1,10,1,24,1,735.41,411.95,1013.04,1009.16,874.2,710.6,0.04498,1.0,no,31,0.8735,0.7185,24,0.8096,0.0639,no,rejected_weak_score: ReID similarity too low to confirm new person vs existing,global_id=1,,,0.000,,0.000,,no,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
1084,90.3333,2,22,2,25,2,1066.66,278.32,1255.78,672.78,1161.2,475.5,0.02024,0.9234232621238563,no,34,0.9523,0.8618,29,0.8986,0.0536,no,rejected_ambiguous: best score matches multiple existing persons — cannot confirm new ID,global_id=2,,,0.000,,0.000,,no,rejected_cross_person_ambiguous_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
1084,90.3333,1,10,1,24,1,733.68,411.43,1002.19,1010.28,867.9,710.9,0.04362,1.0,no,31,0.8735,0.7185,24,0.8096,0.0639,no,rejected_weak_score: ReID similarity too low to confirm new person vs existing,global_id=1,,,0.000,,0.000,,no,rejected_weak_score_new_id|group_merge_pass|overlap_handoff_pass|local_consistency_pass
